Datetime,Open,High,Low,Close,Adj Close,Volume
2023-02-13 09:30:00+08:00,203.89999389648438,206.25999450683594,203.50999450683594,205.94000244140625,205.94000244140625,978400
2023-02-13 09:32:00+08:00,205.80999755859375,207.41000366210938,205.16000366210938,206.72000122070312,206.72000122070312,677560
2023-02-13 09:34:00+08:00,206.72000122070312,208.58999633789062,206.72000122070312,208.47999572753906,208.47999572753906,703468
2023-02-13 09:36:00+08:00,208.5,208.5,207.58999633789062,208.2899932861328,208.2899932861328,445200
2023-02-13 09:38:00+08:00,208.2899932861328,210.1999969482422,208.24000549316406,210.1999969482422,210.1999969482422,944950
2023-02-13 09:40:00+08:00,210.1300048828125,210.89999389648438,209.69000244140625,210.41000366210938,210.41000366210938,848800
2023-02-13 09:42:00+08:00,210.39999389648438,210.39999389648438,208.5,208.97999572753906,208.97999572753906,410500
2023-02-13 09:44:00+08:00,208.9199981689453,210.19000244140625,208.9199981689453,209.8300018310547,209.8300018310547,359648
2023-02-13 09:46:00+08:00,209.4499969482422,209.52999877929688,209.33999633789062,209.5,209.5,259701
2023-02-13 09:48:00+08:00,209.50999450683594,209.50999450683594,208.5800018310547,209.0,209.0,441025
2023-02-13 09:50:00+08:00,209.1300048828125,209.1300048828125,208.47999572753906,209.0800018310547,209.0800018310547,258275
2023-02-13 09:52:00+08:00,209.0500030517578,209.39999389648438,208.85000610351562,209.39999389648438,209.39999389648438,234124
2023-02-13 09:54:00+08:00,209.39999389648438,210.19000244140625,209.39999389648438,210.19000244140625,210.19000244140625,448175
2023-02-13 09:56:00+08:00,210.17999267578125,210.88999938964844,210.0800018310547,210.88999938964844,210.88999938964844,580950
2023-02-13 09:58:00+08:00,210.88999938964844,211.10000610351562,210.6999969482422,210.6999969482422,210.6999969482422,714350
2023-02-13 10:00:00+08:00,210.85000610351562,210.85000610351562,210.0,210.39999389648438,210.39999389648438,224200
2023-02-13 10:02:00+08:00,210.33999633789062,210.52000427246094,210.02000427246094,210.44000244140625,210.44000244140625,163600
2023-02-13 10:04:00+08:00,210.2100067138672,210.4499969482422,209.6999969482422,209.92999267578125,209.92999267578125,235300
